Name: Giuseppe, Surname: Pastena, Age: 19, Category: IN_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
Name: Giovanni, Surname: Pastena, Age: 14, Category: FUORI_CORSO
